code,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BFA,Burkina Faso,3101309668.44,3135055824.28,2240264677.01,2332018010.60,1895306626.22,2379510500.96,2586563406.93,2447666540.08,2804910748.37,3014661262.30,2610945548.70,2812839821.17,3289645662.49,4270385658.53,5108983826.56,5427438071.31,5771194544.67,6766986320.81,8045823005.29,8140859745.95,8820312673.51401,..
CHE,Switzerland,238212677230.78,241001802286.61,250982186821.93,244089818241.74,270221089418.00,315939881871.46,304751566124.60,264584062461.93,272632435331.77,268211560893.36,249918732455.00,254989746186.89,278620794936.48,325039777288.19,362990618832.33,372475755389.58,391233703828.24,434116631636.91,502447278285.28,491924171371.33,5.23772E+11,..
MRT,Mauritania,1019600783.06,1130247027.63,1464392409.33,1249945001.96,1315932677.60,1415296645.19,1442598429.57,1401946882.22,1222433071.76,1194629187.74,1081168277.75,1121565583.39,1149656447.87,1285179087.40,1547861047.51,1857837742.16,2699180938.20,2837528880.96,3588611731.81,3027018188.62,3636296935.99746,..
CHI,Channel Islands,..,..,..,..,..,..,..,..,5945677376.61,6262740656.85,6439703434.71,6232906290.49,6663669064.75,7332244897.96,8553643354.08,8827272727.27,9676172953.08,11514605842.34,..,..,..,..
HRV,Croatia,24782163174.45,18156461130.25,10240621326.37,10902601513.89,14578386962.32,22045607399.25,23341405840.23,23501676219.69,25106400615.72,23044198487.59,21492679530.98,23052044812.56,26524896398.24,34143409062.04,41003558915.70,44821408830.94,49855078905.41,59319467680.82,69911233237.79,63435948447.17,60851860676.61,..
CHL,Chile,31558927517.22,36424168146.15,44467946384.25,47693992626.86,55154226759.96,71349202308.64,75769008174.25,82808986191.60,79373597080.10,72995286764.42,75210511779.64,68568293067.06,67265403373.30,73989608414.63,95652734479.20,118249630260.37,146772604312.85,164315221641.83,170741003929.26,160859264563.35,203442593943.40,..
CHN,China,356936901183.93,379468656246.25,422660918111.41,440500898964.60,559224707280.73,728007199936.41,856084729312.25,952652693079.14,1019458585326.15,1083277930359.88,1198480321713.00,1324804848409.43,1453827687613.08,1640959264366.29,1931643872027.84,2256902969137.08,2712950560614.04,3494055865921.79,4521826899540.68,4991256222547.58,5878629246676.51,..
KNA,St. Kitts and Nevis,159200364.60,164574444.50,181815558.27,198341104.65,221740748.68,230740736.67,245555551.22,275089909.08,287324365.95,305008729.11,326203986.93,342746455.58,351318063.99,362654126.53,399585548.50,438718510.77,487137028.43,513233324.27,570140740.74,526214814.81,526007407.407407,..
SLE,Sierra Leone,649644826.80,779995081.67,680034040.85,768817621.15,911912391.34,870768008.47,941753014.01,850231278.66,672381683.29,669392528.54,635876870.13,805663721.27,935823725.58,991113463.09,1096030169.23,1239397077.93,1422009797.58,1663712059.14,1954828246.02,1856392961.88,1905015045.14,..
JAM,Jamaica,4592208211.54,4106205952.24,3535452385.98,4891215396.79,4938132517.81,5813471981.64,6527302707.85,7472532258.02,8742153397.26,8830909008.27,9008629729.41,9104515930.21,9676893928.79,9398942821.37,10134991341.82,11151727459.34,11989334128.57,12893737820.58,14121426276.67,12651603067.33,13994534274.65,..
SMR,San Marino,..,..,..,..,..,..,..,..,..,853373879.73,773907642.41,815205233.06,879957209.92,1122981525.36,1317357834.62,1375416604.49,1469075398.32,1687653983.03,1899809579.61,..,..,..
GIB,Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DJI,Djibouti,452328104.99,462422016.63,478058323.59,466048487.48,491689240.00,497723980.08,494004667.08,502675561.68,514267889.44,536080169.09,551230861.86,572417440.82,591122039.60,622044665.52,666072101.78,708843636.94,768873684.03,847918929.11,982534421.93,1049054416.75,..,..
GIN,Guinea,2666616176.92,3014890569.04,3284625277.16,3279063317.63,3383218922.79,3693753379.06,3869032270.92,3783788551.08,3588375984.48,3461282189.70,3112362568.48,2892340075.98,3053354383.62,3446417029.11,3666340827.63,2937072435.48,2821345794.39,4209331037.16,3778260000.00,4164652641.88,4510589866.06,..
FIN,Finland,138844658684.50,125243346566.68,110128749668.17,87322785468.93,100561183836.08,130699891067.54,128222883769.09,122909174206.85,129670672007.12,130217344981.89,121715496591.12,124561968680.09,135084697910.79,164126410835.21,188918068205.10,195626274685.37,207796362249.59,245952167831.40,270478631852.64,237989394909.72,238801324503.31,..
URY,Uruguay,9298839655.23,11206193313.05,12878157305.75,15002144584.37,17474578502.43,19297663096.55,20515465834.07,23969746851.50,25385928196.40,23983945190.62,22823255805.97,20898788420.09,13606494599.02,12045627411.02,13686333821.79,17362872709.75,19802235564.26,23876761050.37,31176899890.64,31322414681.61,40265470148.73,..
THA,Thailand,85343189319.66,98234713406.79,111452745856.78,125010690988.82,144308067331.75,168018557307.61,181947631899.94,150891449495.05,111859654863.99,122629741697.72,122725247705.56,115536405150.35,126876918690.02,142640079033.31,161339790594.63,176351815950.37,207088920189.90,246977009038.81,272577816170.88,263709706585.78,318846998674.49,..
SYC,Seychelles,368584758.94,375018939.39,433658727.06,473914075.57,487009900.99,508234503.54,503060037.09,562954169.78,608358684.52,622976165.07,614879764.78,622262057.19,697518248.18,705704816.04,699800000.00,883818181.82,967806221.35,1018952362.68,920991413.95,788102778.12,936609214.451442,..
NPL,Nepal,3627559252.21,3921476084.89,3401211581.29,3660041666.67,4066775510.20,4401104417.67,4521580381.47,4918691916.54,4856255044.39,5033642384.11,5494252207.91,5595578231.29,6050875806.66,6330476434.55,7273933992.75,8130258976.03,9074827536.25,10277619341.86,12572606352.88,12896793334.75,15701058165.61,..
LAO,Lao PDR,865559856.20,1028087947.26,1127806917.74,1327748654.64,1543606381.87,1763536299.22,1873671510.57,1747011884.41,1280177847.19,1454430642.02,1735155219.37,1768619058.35,1829660932.68,2148830163.56,2507094677.57,2738209638.91,3497318141.95,4262812788.85,5497625802.65,6095274080.07,7492313581.3246,..
YEM,Yemen Rep.,4827824503.21,5083703647.68,5755079583.34,4900925402.10,3794476777.02,4236297071.18,5793813887.51,6936303759.17,6318571349.91,7467832877.38,9441473354.85,9459570743.57,9902721941.30,11006776814.32,13873381756.54,16736795898.33,19081645676.85,21656550140.16,26917363956.06,26365156990.24,..,..
PHL,Philippines,44311595229.86,45417505303.29,52976363147.64,54368183871.67,64084543195.22,74119868201.90,82848194394.76,82344374413.93,72207022471.59,82995145600.73,81026294681.24,76261998622.89,81357657790.41,83908205719.80,91371236939.22,103065972407.86,122210719245.94,149359920006.40,173602533345.58,168333540385.11,199589447423.75,..
ZAF,South Africa,112013925352.82,120225327665.39,130513036525.14,130405952096.51,135777933839.56,151113089034.78,143732002576.51,148814150953.26,134295556521.53,133183580945.09,132877648090.74,118478978977.56,111100827740.94,168219302326.32,219092937439.46,247064310285.63,261007039378.85,286169133891.57,275278721835.79,282754441019.85,3.63704E+11,..
KIR,Kiribati,28413863.09,47797290.48,49724297.12,48613513.78,56200396.15,57610362.17,67866700.01,69151989.76,67096993.69,70595807.35,68239320.70,63810762.05,74173806.51,93517283.95,102405530.24,108938510.70,109671822.18,127854317.32,132506609.31,128004027.81,151175993.979672,..
VIR,Virgin Islands (U.S.),1564700032.00,1671200000.00,1770899968.00,1996000000.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SYR,Syrian Arab Republic,12308624283.98,12981833333.33,13253565901.07,13695962017.18,10122020000.00,11396706586.83,13789560878.24,14505233969.81,15200846139.08,15873875968.99,19325894913.13,21099833783.50,21582248881.66,22396829912.62,25012613861.39,28859003831.42,33332825024.44,40404985983.18,52581935483.87,53934534350.51,59102566137.52,..
MAC,Macao SAR China,2990177409.30,3464968016.79,4581209813.98,5280251270.79,5868533723.60,6567039082.31,6398039390.44,6513395734.33,6186444076.80,5916989914.66,6101795437.27,6187141345.62,6823847934.87,7924786814.94,10250791553.44,11507945226.00,14211125553.03,18598613720.93,21564640135.86,21736141478.50,..,..
LIE,Liechtenstein,1421508901.19,1484160640.17,1631176617.19,1673085622.79,1948128895.93,2428524749.69,2504013003.94,2298390584.38,2479698578.66,2664105901.19,2483890593.71,2491800558.78,2688617884.87,3070803431.48,3454374260.74,3658356377.81,3988775843.87,4602346923.40,4929414914.73,4826167676.36,..,..
MAF,St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MLT,Malta,2547330284.04,2750215016.02,3021944632.33,2709194765.69,2998504391.78,3574740685.33,3671847264.62,3633453447.38,3809843648.75,3907960070.70,3893057246.27,3850924288.63,4233007168.22,4994073517.59,5607279373.68,5959813556.90,6462031685.40,7547856388.87,8413230936.25,7987432157.06,..,..
KAZ,Kazakhstan,26932728898.81,24881135586.40,24906939560.11,23409027475.69,21250839258.09,20374307047.12,21035357832.80,22165932062.97,22135245413.23,16870817134.78,18291990619.14,22152689129.56,24636598581.02,30833692831.40,43151647002.61,57123671733.90,81003864915.51,104853480212.16,133441571813.62,115306081355.93,142986931559.84,..
TCA,Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ZAR,Congo Dem. Rep.,9349764580.35,9087965281.53,8206227134.01,10707792340.03,5820383305.55,5643439262.22,5771454883.83,6090840526.87,6217806274.76,4711272704.00,4305797175.65,4691816706.56,5547714815.20,5673197493.84,6569986939.62,7103539716.57,8543323220.41,9977079382.54,11668379641.83,11204139344.77,13145120704.88,..
PYF,French Polynesia,3181206304.82,3267367609.90,3558215110.25,3694600399.89,3522272321.41,3982374845.93,3954696873.75,3567062511.87,3775160797.39,3797016068.70,3447543137.94,..,..,..,..,..,..,..,..,..,..,..
NIU,Niue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DMA,Dominica,166322225.21,180437033.85,191759261.80,200418509.05,215459267.31,224037021.23,236444440.27,245781477.14,258440730.25,267740736.01,271166661.88,266151847.15,254855551.05,262833328.69,285218513.48,299255555.56,315659259.26,344366666.67,374422222.22,375748148.15,382781481.481481,..
KSV,Kosovo,..,..,..,..,..,..,..,..,..,..,1849196082.06,2535333631.89,2702427046.94,3355083116.59,3639935347.51,3743116980.19,3915494726.27,4677361256.46,5641557748.48,5434843011.95,5590728476.82119,..
BEN,Benin,1845041493.98,1877810375.14,1624296266.51,2106272067.69,1496845630.26,2009226253.80,2208067090.28,2156753028.13,2334564287.17,2387363924.06,2254838684.51,2371785987.12,2807357350.89,3557983482.45,4047438048.57,4287463884.07,4734839067.49,5546177809.03,6682744914.14,6638062119.59,6633055845.51675,..
NGA,Nigeria,28472471050.91,27313352201.78,32710369045.79,21352759381.90,23663389441.47,28108826037.52,35299150000.00,36229368991.87,32143818181.82,34776040200.13,45983600313.28,47999775242.51,59116847820.74,67656023323.77,87845420491.91,112248609249.75,146867334823.52,165920866365.38,207117912034.15,168567245570.91,193668738106.96,..
BEL,Belgium,202563186141.96,207672604016.54,231616006775.41,221691791044.78,241582269471.91,284142036124.80,275433224755.70,249438430311.23,255267837297.18,254175367568.72,232371475953.57,232154809843.40,252452475061.17,311191873589.17,361109559019.82,376616674128.24,399113833060.90,458619726868.85,505373713699.78,471161072622.78,467471523178.81,..
TGO,Togo,1628432255.15,1602293605.39,1692964166.22,1233508156.39,982632621.16,1309378704.23,1465311925.47,1498949402.10,1587350761.33,1576092231.45,1329110396.46,1328031238.67,1476122551.81,1758946962.64,2061009613.09,2115154592.61,2202809610.79,2523461504.25,3163383040.42,3156613950.27,3153400897.31795,..
DEU,Germany,1714470068998.91,1808603417796.11,2062141515341.26,2004459955045.55,2146293841147.40,2522792411628.22,2438497530543.28,2160591021881.34,2184483716794.49,2143618154698.49,1900221116639.03,1890970917225.95,2016920760399.02,2442212189616.25,2745214902559.71,2788389792568.27,2918555186598.11,3329145212814.01,3634525945728.20,3330031687465.18,3309668874172.19,..
GUM,Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LKA,Sri Lanka,8032551173.24,9000362581.58,9703011635.87,10338679635.76,11717604208.82,13029697560.98,13897738375.25,15091930835.73,15794972847.17,15656342015.86,16330810303.92,15746224409.80,17102623876.23,18881765437.22,20662525941.30,24405791044.78,28267410542.52,32351184234.32,40715249699.99,42067965895.25,49551751282.50,..
GBR,United Kingdom,1012576349431.82,1055844797178.13,1091751491751.49,981097780443.91,1060586164677.07,1157118510336.12,1219541341653.67,1359027504911.59,1455948989731.70,1502556220676.27,1477580571947.34,1470891032100.19,1612056354916.07,1860809795918.37,2202490021604.60,2280113745868.17,2444148618090.22,2810971803142.23,2657482269112.41,2173154245317.56,2246079096749.22,..
GUY,Guyana,396582263.90,336708410.13,368281383.48,442273443.73,540874922.21,621626786.25,705406032.26,749138004.17,717530696.53,694754983.97,712667925.08,696281468.80,722460911.62,741929343.02,785918769.75,824880550.34,1458449635.42,1740335165.86,1922600611.44,2025496445.21,2222102182.32533,..
CRI,Costa Rica,7403457319.25,7162546469.77,8573610781.23,9638291624.36,10557530521.64,11722356980.20,11843228352.02,12828976089.82,14095921303.32,15796567138.06,15946443260.83,16403603009.26,16844378717.94,17517535901.83,18596365933.71,19964893791.98,22526464348.10,26267157320.27,29663614222.94,29239504920.38,34564395711.22,..
CMR,Cameroon,11151578702.88,12434368416.00,11396311478.40,13532152214.80,9220467286.24,8733227080.87,9732338099.34,9840550361.48,9629642599.84,10486456218.26,10075040330.76,9598224206.27,10879778068.64,13621809491.86,15775357312.01,16587863738.17,17956985510.83,20685921877.06,23735512829.10,22185977547.13,22393529277.56,..
MAR,Morocco,25820725667.71,27836559831.39,28450632466.62,26801064630.61,30351265891.56,32986182669.79,36638763638.87,33414747559.57,40021694630.90,39734023742.79,37020609824.96,37724674865.08,40416114690.14,49822651701.73,56948015336.04,59523857868.02,65637107776.26,75226318359.38,88882967741.94,91374705225.27,91196031840.32,..
ROM,Romania,38299106119.93,28846858763.09,25090303816.81,26361161947.64,30072623842.28,35477055618.92,35333677695.26,35285888482.05,42115494069.27,35592337082.86,37052636395.19,40180746113.18,45824529874.34,59507345650.25,75489440362.10,98913392471.97,122641508767.76,169282491900.09,200071062765.49,161110320401.40,161623662680.93,..
MNP,Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LSO,Lesotho,540781148.19,599015735.04,708187243.69,705874860.41,738211154.69,814280442.53,796081272.54,837654100.18,800117786.22,783167363.67,745832990.09,686484199.49,638601203.29,947163200.75,1234520116.55,1354859672.29,1414900686.70,1581173531.67,1600614922.77,1720263875.28,2132495560.72,..
HUN,Hungary,33056134799.46,33429035926.94,37254463739.37,38595683505.41,41521516338.21,44656306509.35,45162689435.30,45723577830.62,47049233137.18,48044272335.94,47885455753.58,53190345128.50,66502083791.16,84326267609.82,102076243243.80,110195442987.24,112790698227.10,137897144101.94,155443541077.62,128764022898.54,130418835184.10,..
TKM,Turkmenistan,3232066836.53,3197224007.42,3200539816.06,3179225948.58,2561118608.36,2482228439.71,2379281767.96,2450084970.25,2605688065.08,2450686659.78,2904662604.82,3534771968.51,4462028988.73,5977440582.80,6838351088.47,8104355716.88,10277598152.42,12664165103.19,17017140631.09,18476842105.26,21074000000.00,..
VCT,St. Vincent and the Grenadines,198207403.91,212492582.91,233188878.84,238774063.93,243255557.19,266481488.63,281518501.69,293070365.19,317851822.53,331866660.81,339014808.83,349459253.09,370055549.02,386954849.83,420633353.09,445566734.41,497902361.58,555281481.48,583870370.37,585381481.48,561611111.111111,..
TTO,Trinidad and Tobago,5068070430.12,5362823408.94,5532117353.41,4584646145.07,4947205981.58,5329214154.85,5759537847.67,5737751324.18,6043710211.43,6808976088.60,8154315708.35,8824873155.63,9008273516.36,11235960523.09,12884712295.99,15982284589.50,18370220923.84,21738492063.49,27132936507.94,19623019762.85,20398239270.55,..
NLD,Netherlands,294871112186.86,303365157944.37,336214285714.29,327495253915.52,351190216733.26,418969256107.60,417980392156.86,386533770047.44,402648300377.69,411456424461.97,385074626865.67,400654138702.46,437807265198.57,538312641083.52,609889925685.87,638470626274.69,677691901432.75,782566743038.28,873367268465.96,794588542223.79,783413245033.11,..
BMU,Bermuda,1592400000.00,1634899968.00,1679900032.00,1820359936.00,1867160064.00,2030749952.00,2695390000.00,2932827000.00,3130748000.00,3324433000.00,3507864000.00,3660790000.00,3919849000.00,4168843000.00,4464576000.00,4846147000.00,5387377000.00,5860745000.00,6067898000.00,5715300000.00,..,..
TCD,Chad,1738610589.75,1877144030.24,1881853364.35,1463316169.19,1179847942.57,1445915335.09,1607352991.07,1544687914.87,1744651916.44,1536917961.53,1385050963.93,1709344295.52,1987873833.50,2736667928.42,4414969334.44,5301938221.08,6099009022.99,7016297534.48,8357142857.14,6838983050.85,7587673160.67574,..
GEO,Georgia,7737994864.03,6337314651.84,3691110627.68,2701180603.90,2513870708.80,2693731879.97,3094915506.10,3510540843.58,3613500141.71,2800024342.13,3057453460.85,3219487823.05,3395778661.40,3991374539.82,5125763952.16,6411141777.63,7745401717.71,10172869673.58,12795044475.20,10766809096.17,11667377223.72,..
MNE,Montenegro,..,..,..,..,..,..,..,..,..,..,984279596.40,1159891560.00,1284504508.58,1707662607.75,2073255525.20,2257181942.54,2695897628.90,3668857103.75,4519731946.68,4141382328.42,4003707165.44503,..
MNG,Mongolia,2560785662.92,2379018323.23,1317611862.78,768401665.82,925817089.53,1452165052.55,1345719435.15,1180934217.40,1124440238.13,1057408608.44,1136896162.14,1267997923.03,1396555772.04,1595297301.46,1992066758.84,2523359940.71,3395917892.19,4234894168.16,5623236707.52,4583834427.36,6083047865.24,..
MHL,Marshall Islands,68691000.00,72218800.00,79709200.00,87059000.00,94595000.00,105239000.00,97037000.00,92184200.00,95657000.00,95360000.00,107573000.00,110480000.00,119286000.00,123788000.00,133300000.00,138600000.00,144600000.00,151000000.00,152000000.00,152800000.00,155800000,..
BLZ,Belize,413049984.00,444720726.46,518143678.49,559759653.31,580760211.26,620031771.86,641271333.36,654198121.11,688872472.72,732607993.77,832072464.65,871840755.40,932676403.18,988199088.31,1056303706.29,1114874607.78,1213104430.03,1276751655.94,1358700000.00,1351500000.00,1431500000,..
MMR,Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFG,Afghanistan,..,..,..,..,..,..,..,..,..,..,..,2461666314.78,4338907578.66,4766127271.58,5704202650.64,6814753580.54,7721931671.42,9739337182.88,11757405532.51,..,..,..
BDI,Burundi,1132101252.52,1167398478.35,1083037670.62,938632612.06,925030590.28,1000428393.95,869033856.32,972896267.92,893770806.08,808077223.37,709062400.27,662371289.22,628096157.26,595002974.04,664493918.67,795882875.05,918823350.84,979785001.89,1168900171.20,1330790159.56,1610544922.06225,..
BLR,Belarus,17369598958.12,17813389815.00,17022180272.21,16280372553.05,14931599418.42,13972637603.21,14756861538.46,14128412417.19,15222014828.30,12138485328.63,12736856485.11,12354820143.88,14594925392.97,17825436034.54,23141587717.76,30210091836.83,36961918858.74,45275711995.83,60763483146.07,49271267252.20,54713128376.27,..
