code,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SDN,Sudan,26494169.00,27159893.00,27865979.00,28605664.00,29367076.00,30141147.00,30929107.00,31733750.00,32549326.00,33368681.00,34187729.00,35002234.00,35816110.00,36643433.00,37503647.00,38410320.00,39368726.00,40373635.00,41415151.00,42478309.00,43551941.00,..
SLB,Solomon Islands,309527.00,318371.00,327529.00,336960.00,346599.00,356404.00,366363.00,376511.00,386906.00,397627.00,408732.00,420232.00,432107.00,444344.00,456919.00,469805.00,483000.00,496490.00,510221.00,524125.00,538148,..
NZL,New Zealand,3448000.00,3495100.00,3531700.00,3572200.00,3620100.00,3673400.00,3732000.00,3781400.00,3815000.00,3835100.00,3857800.00,3880500.00,3948500.00,4027200.00,4087500.00,4133900.00,4184600.00,4228300.00,4268900.00,4315800.00,4367800.00,..
MCO,Monaco,30896.00,31330.00,31745.00,32154.00,32574.00,33014.00,33485.00,33974.00,34444.00,34840.00,35126.00,35288.00,35341.00,35323.00,35282.00,35260.00,35267.00,35295.00,35336.00,35377.00,35407,..
JPN,Japan,123537000.00,123921000.00,124229000.00,124536000.00,124961000.00,125439000.00,125761000.00,126091000.00,126410000.00,126650000.00,126870000.00,127149000.00,127445000.00,127718000.00,127761000.00,127773000.00,127756000.00,127770750.00,127704040.00,127557958.00,127450459.00,..
KGZ,Kyrgyz Republic,4423000.00,4495000.00,4546000.00,4543000.00,4540000.00,4589900.00,4657000.00,4725000.00,4797000.00,4864600.00,4915300.00,4954800.00,4993200.00,5038600.00,5092802.00,5143500.00,5192100.00,5234800.00,5277900.00,5321354.86,5365167.50,..
UGA,Uganda,17699717.00,18314701.00,18935726.00,19561967.00,20193432.00,20831075.00,21473592.00,22123185.00,22788843.00,23482533.00,24213120.00,24984181.00,25794397.00,26641627.00,27521632.00,28431204.00,29370251.00,30339895.00,31339392.00,32367909.00,33424683.00,..
NCL,New Caledonia,168000.00,172167.00,176723.79,181695.69,187110.74,193000.00,197000.00,201641.74,205000.00,209214.00,213230.00,217324.00,221490.00,225735.00,230068.00,234393.00,238459.00,242400.00,246705.00,250325.93,254000,..
ARE,United Arab Emirates,1808642.00,1909812.00,2014095.00,2121704.00,2232980.00,2348539.00,2473983.00,2611610.00,2755497.00,2897038.00,3033491.00,3149440.00,3254691.00,3400959.00,3658042.00,4069349.00,4662728.00,5405541.00,6206623.00,6938815.00,7511690.00,..
ARG,Argentina,32642442.00,33093579.00,33540023.00,33982035.00,34420352.00,34855160.00,35287113.00,35714929.00,36134642.00,36541029.00,36930709.00,37302116.00,37657340.00,38001251.00,38340778.00,38681174.00,39023850.00,39368066.00,39714298.00,40062470.00,40412376.00,..
BHS,Bahamas The,256128.00,260845.00,265761.00,270701.00,275426.00,279774.00,283677.00,287217.00,290571.00,293988.00,297651.00,301606.00,305801.00,310201.00,314739.00,319358.00,324066.00,328861.00,333661.00,338358.00,342877,..
BHR,Bahrain,492891.00,506685.00,519696.00,532362.00,545329.00,559069.00,574914.00,592986.00,611237.00,626765.00,638193.00,642510.00,642070.00,647164.00,671760.00,724807.00,811410.00,925733.00,1052359.00,1169578.00,1261835,..
ARM,Armenia,3544695.00,3512051.00,3449940.00,3370373.00,3290540.00,3223173.00,3172185.00,3134836.00,3109101.00,3090624.00,3076098.00,3065810.00,3061067.00,3060554.00,3062612.00,3065954.00,3069844.00,3074181.00,3079087.00,3084979.00,3092072.00,..
NRU,Nauru,9157.00,9354.00,9544.00,9719.00,9863.00,9970.00,10033.00,10058.00,10056.00,10046.00,10041.00,10046.00,10057.00,10075.00,10094.00,10114.00,10133.00,10154.00,10180.00,10212.00,10255,..
CUB,Cuba,10570328.00,10654121.00,10727088.00,10790686.00,10847842.00,10900795.00,10949206.00,10992290.00,11031429.00,11068382.00,11104313.00,11140168.00,11175434.00,11208029.00,11234970.00,11254242.00,11265124.00,11268687.00,11266905.00,11262628.00,11257979.00,..
