id,donor_long,donor_short,agency_long,agency_short,donor_slug,agency_slug,donor_description,agency_description,recipient,donor_responded,cso_name,iati,dac,totalaid,recipient1,recipient1_value,recipient2,recipient2_value,recipient3,recipient3_value,recipient4,recipient4_value,recipient5,recipient5_value,url,rank,rank_order,total,total_org,total_country,total_activity,ranking_group,ranking_group_order,updatetext,donor_tag
11,Clean Technology Fund,CTF,,,ctf,,,"The Clean Technology Fund (CTF) is not an IATI signatory, nor covered by the Busan common standard commitments. The World Bank, an IATI signatory, serves as the trustee of the Fund.
The CTF scored 40.0%, ranking 38th among all donors and last amongst the climate finance bodies assessed. The CTF scored poorly on the organisation level indicators, with a score on this level just above the mean for donors in the very poor category. In many cases, as a network organisation partnering with several other donors, the CTF is reliant on the policies and procedures of other donors (namely, the World Bank, EBRD, IADB, AsDB and AfDB). However, the CTF ranks lower than all of these donors because it is often not made clear which specific organisation’s policies apply to which specific CTF projects. Most project information is contained in PDF documents that are not searchable or comparable across projects. The CTF may be well placed to benefit from the traceability features of IATI.
The CTF should maximise its transparency by working with IATI, the UNFCCC, other climate funds and the multilateral development banks to ensure that its information is timely, comprehensive, accessible and internationally comparable. Particular attention should be paid to releasing project information in more accessible formats.",,declined,,,,,,,,,,,,,,,,38,38,0.399524,0.25,0.428571,0.52,moderate,3,,CFF
12,Cyprus,Cyprus,Planning Bureau,,cyprus,,,"Cyprus has not signed IATI but has committed to implement the Busan common standard. It is not a member of OGP.
Cyprus scores very poorly. While it publishes some project information in English and Greek, no country level information and very little organisation or activity level data is published systematically for all projects. Cyprus did increase its score in 2012 for publishing its medium term plan, which covers 2011&mdash;2015, and a new CyprusAid website has been recently launched, which has led to an increase in the amount of basic information available. As Cyprus often works via delegated cooperation, it could benefit from the traceability features of IATI.
Cyprus should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Cyprus should also bring into force a Freedom of Information Act and consider joining OGP.",,yes,INDEX: Research and Dialogue,,,,,,,,,,,,,,,69,69,0.054444,0.083333,0,0.08,very poor,5,,Bilateral
13,Czech Republic,Czech Republic,Czech Development Agency,,czech-republic,,,"The Czech Republic has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan. The Czech Republic has also endorsed the Open Aid Partnership.
The Czech Republic improved its score from 2011 significantly, although higher performance by other donors has led to it rising only one place (22/72 in 2012 against 23/58 in 2011). While this increase is partly due its performance on the newly added indicators, it is also due to the publication of a detailed forward budget to 2015. Most project information is found in a project database that could be fairly easily converted to IATI XML. The project database is in Czech and English, although the CSO reported that there were minor differences in the amount of information available. Other information is only available on the MFA website, although it is sometimes hard to find. The Czech Development Agency got in touch to respond to the survey but only after the data collection period had ended.
The Czech Republic should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,toolate,FoRS &mdash; Czech Forum for Development Co-operation,,,,,,,,,,,,,,,22,22,0.536772,0.638889,0.571429,0.4,moderate,3,,Bilateral
14,Denmark,Denmark,Ministry of Foreign Affairs,,denmark,,,"Denmark is an original IATI signatory and produced an implementation schedule in May 2011, committing to an original dataset by October 2011. This has not yet been published; full IATI publication is now scheduled for late 2013. In its OGP National Action Plan, Denmark also committed to launch a comprehensive aid transparency initiative.
Denmark performed well, ranking 6th overall and improving from 8th in the 2011 Index. It performed particularly well at the country level, tying 1st, and also performed very well at the organisation level (3rd highest score for all donors at that level). At the activity level, it performs comparatively poorly, ranking 18th amongst all donors for this level, but this stands to increase significantly if Denmark delivers on its promise of full IATI implementation. It is relatively easy to find the information, most of which is available in a new project database on Danida’s website (although this is only updated annually, and it is not possible to link to specific projects), and in project documents on the Danish Embassy to Tanzania’s website. Project documents are provided in English; the project database is only available in Danish.
Denmark should build on its progress to date by beginning publication to the IATI Registry by the end of 2012 and releasing a more complete dataset in 2013. It should also include ambitious IATI targets in its forthcoming aid transparency initiative and work to build IATI into its systems to ensure a high-quality, automated and timely publication.",,yes,Concord Danmark,,,,,,,,,,,,,,,6,6,0.764603,0.916667,0.857143,0.52,fair,2,,Bilateral
15,European Bank for Reconstruction and Development,EBRD,,,ebrd,,,"The EBRD has not signed IATI.
The EBRD ranked 21st overall, dropping six places due to progress made by other donors. The EBRD ranks 3rd among seven DFIs assessed, scoring above the DFI average for every level. The increase in the EBRD’s score is due to its performance on the newly added indicators, rather than the publication of any new fields since the 2011 Index. Most information is available in a comprehensive project level database that could be easily converted to the IATI format.
The EBRD should sign IATI and publish an implementation schedule by the end of 2012. It should convert its project database into IATI data or, preferably, build a feed into the database to ensure automated live publication to the IATI Registry.",,yes,CEE BankWatch Network,,,,,,,,,,,,,,,21,21,0.547672,0.694444,0.428571,0.52,moderate,3,,IFI/DFI
16,European Commission,EC,ECHO,ECHO,ec,echo,"The 2011 Pilot Index assessed the transparency of three EC departments (Directorates-General): Enlargement (DG Enlargement), EuropeAid Development and Cooperation (DG DEVCO), and Humanitarian Aid (ECHO). The Service for Foreign Policy Instruments (FPI) has been added to the analysis for the 2012 Index. The FPI has been set up in response to the establishment of the European External Action Service (EEAS) and operates under the responsibility of Baroness Ashton in her role as Vice President to the EC. The service is responsible for implementing EU external cooperation in relation to Common Foreign and Security Policy issues such as jointly managing the Instrument for Stability (which includes global security and development spending). Although DG DEVCO is considered to be the main implementing agency for EU external assistance, substantial flows and/or activities are managed by the other departments, such as the FPI.
The EC should be congratulated for leading on aid transparency internationally and internally. It is an original signatory to IATI. Its implementation schedule, published in May 2011, covered publication of aid information from DG DEVCO, representing 75% of the EC’s ODA. DEVCO began publishing to the IATI Registry in October 2011.
The 2012 Index shows a significant range in performance amongst the Commission’s departments, from DG DEVCO &mdash; 77.0%, near the top of the fair group &mdash; to the FPI’s 29.4%, rated poor. DEVCO’s publication to IATI helped it to achieve an overall ranking of 5th. ECHO came second amongst the EC’s departments, which reflects the strength of a comprehensive online database. It is notable that a number of departments have performed less well than in 2011 owing to the fact that the EU’s current budget cycle is coming to an end in 2013, meaning that three-year forward budgets (up to 2015) are often not published. Negotiations are currently under way for the EU’s next Multi-Annual Financial Framework (MFF) for the period 2014&mdash;2020.
The relative strength of all the departments’ scores at the organisation level is perhaps an indication of the longer-established norms of publishing a set of organisation-wide documents and annual reports, collectively covering strategy, budget, procurement and audit. It also reflects the EC’s role as a multilateral organisation, accountable to European Member States and the European Parliament.
The forthcoming negotiations on the EU’s seven-year Budget provide a critical opportunity for ensuring that the Busan commitments on aid transparency are fully integrated into the EU’s next MFF and 11th European Development Fund (2014&mdash;20). To date DG DEVCO has played a significant role in leading the EC’s implementation of the common standard, however other EC departments managing the EU’s external aid budget such as DG’s ECHO and Enlargement and the new FPI Service now have a responsibility to publish their information in line with the common standard.
The European Commission should share lessons learned and best practice by communicating the benefits of comparable, timely, comprehensive and accessible aid information to its staff across the DGs to encourage improvement in data quality and greater coordination in programming and implementation.","The European Commission is a signatory to IATI but ECHO data has not yet been included in its IATI data release. In the response to the survey, ECHO stated it will begin publication to IATI from autumn 2012, which is to be commended.
ECHO performed strongly, scoring above the European Commission average across all levels. Humanitarian organisations have a particular challenge in publishing forward budgets given the short-term nature of their programming, so it is notable that ECHO has published some forward budget information, although not three years forward. When controlling for methodological changes, ECHO does not perform as well in 2012 as it had in 2011. This is due to the fact that ECHO’s current budget cycle ends in 2013, and no forward information is published beyond this period. ECHO performs well at the activity level due to its good database, EDRIS, but there are a number of additional information items it could probably publish quite easily, particularly if it published to IATI.
ECHO should release an implementation schedule, begin publishing in 2012 and work with other humanitarian aid organisations, such as UN OCHA, to provide the IATI Registry with a full picture of humanitarian aid delivery.",,yes,,,,,,,,,,,,,,,,14,14,0.60455,0.722222,0.571429,0.52,fair,2,,Multilateral
17,European Commission,EC,DG Enlargement,Enlargement,ec,enlargement,"The 2011 Pilot Index assessed the transparency of three EC departments (Directorates-General): Enlargement (DG Enlargement), EuropeAid Development and Cooperation (DG DEVCO), and Humanitarian Aid (ECHO). The Service for Foreign Policy Instruments (FPI) has been added to the analysis for the 2012 Index. The FPI has been set up in response to the establishment of the European External Action Service (EEAS) and operates under the responsibility of Baroness Ashton in her role as Vice President to the EC. The service is responsible for implementing EU external cooperation in relation to Common Foreign and Security Policy issues such as jointly managing the Instrument for Stability (which includes global security and development spending). Although DG DEVCO is considered to be the main implementing agency for EU external assistance, substantial flows and/or activities are managed by the other departments, such as the FPI.
The EC should be congratulated for leading on aid transparency internationally and internally. It is an original signatory to IATI. Its implementation schedule, published in May 2011, covered publication of aid information from DG DEVCO, representing 75% of the EC’s ODA. DEVCO began publishing to the IATI Registry in October 2011.
The 2012 Index shows a significant range in performance amongst the Commission’s departments, from DG DEVCO &mdash; 77.0%, near the top of the fair group &mdash; to the FPI’s 29.4%, rated poor. DEVCO’s publication to IATI helped it to achieve an overall ranking of 5th. ECHO came second amongst the EC’s departments, which reflects the strength of a comprehensive online database. It is notable that a number of departments have performed less well than in 2011 owing to the fact that the EU’s current budget cycle is coming to an end in 2013, meaning that three-year forward budgets (up to 2015) are often not published. Negotiations are currently under way for the EU’s next Multi-Annual Financial Framework (MFF) for the period 2014&mdash;2020.
The relative strength of all the departments’ scores at the organisation level is perhaps an indication of the longer-established norms of publishing a set of organisation-wide documents and annual reports, collectively covering strategy, budget, procurement and audit. It also reflects the EC’s role as a multilateral organisation, accountable to European Member States and the European Parliament.
The forthcoming negotiations on the EU’s seven-year Budget provide a critical opportunity for ensuring that the Busan commitments on aid transparency are fully integrated into the EU’s next MFF and 11th European Development Fund (2014&mdash;20). To date DG DEVCO has played a significant role in leading the EC’s implementation of the common standard, however other EC departments managing the EU’s external aid budget such as DG’s ECHO and Enlargement and the new FPI Service now have a responsibility to publish their information in line with the common standard.
The European Commission should share lessons learned and best practice by communicating the benefits of comparable, timely, comprehensive and accessible aid information to its staff across the DGs to encourage improvement in data quality and greater coordination in programming and implementation.","The European Commission is a signatory to IATI but DG Enlargement data has not yet been included in its IATI data release.
DG Enlargement performed poorly, particularly at the country level. DG Enlargement’s country level score, at just 14.3%, ranked 51st amongst all donors and was below the average of donors in the poor category for this level. It dropped significantly from the 58% scored in the 2011 Index, primarily because the current budget cycle ends in 2013 and no forward budget information has been published beyond that year. DG Enlargement’s score was also lower because the various different websites on which patchy information was provided (with different project codes and titles across the websites) were this year assessed to provide a highly incomplete picture of their development assistance. DG Enlargement did not provide feedback during the survey process.
DG Enlargement should commit to publishing to IATI, release an implementation schedule, and begin publishing in 2013.",,no,Balkan CSD,,,,,,,,,,,,,,,43,43,0.353915,0.638889,0.142857,0.28,poor,4,,Multilateral
18,European Commission,EC,DEVCO,DEVCO,ec,devco,"The 2011 Pilot Index assessed the transparency of three EC departments (Directorates-General): Enlargement (DG Enlargement), EuropeAid Development and Cooperation (DG DEVCO), and Humanitarian Aid (ECHO). The Service for Foreign Policy Instruments (FPI) has been added to the analysis for the 2012 Index. The FPI has been set up in response to the establishment of the European External Action Service (EEAS) and operates under the responsibility of Baroness Ashton in her role as Vice President to the EC. The service is responsible for implementing EU external cooperation in relation to Common Foreign and Security Policy issues such as jointly managing the Instrument for Stability (which includes global security and development spending). Although DG DEVCO is considered to be the main implementing agency for EU external assistance, substantial flows and/or activities are managed by the other departments, such as the FPI.
The EC should be congratulated for leading on aid transparency internationally and internally. It is an original signatory to IATI. Its implementation schedule, published in May 2011, covered publication of aid information from DG DEVCO, representing 75% of the EC’s ODA. DEVCO began publishing to the IATI Registry in October 2011.
The 2012 Index shows a significant range in performance amongst the Commission’s departments, from DG DEVCO &mdash; 77.0%, near the top of the fair group &mdash; to the FPI’s 29.4%, rated poor. DEVCO’s publication to IATI helped it to achieve an overall ranking of 5th. ECHO came second amongst the EC’s departments, which reflects the strength of a comprehensive online database. It is notable that a number of departments have performed less well than in 2011 owing to the fact that the EU’s current budget cycle is coming to an end in 2013, meaning that three-year forward budgets (up to 2015) are often not published. Negotiations are currently under way for the EU’s next Multi-Annual Financial Framework (MFF) for the period 2014&mdash;2020.
The relative strength of all the departments’ scores at the organisation level is perhaps an indication of the longer-established norms of publishing a set of organisation-wide documents and annual reports, collectively covering strategy, budget, procurement and audit. It also reflects the EC’s role as a multilateral organisation, accountable to European Member States and the European Parliament.
The forthcoming negotiations on the EU’s seven-year Budget provide a critical opportunity for ensuring that the Busan commitments on aid transparency are fully integrated into the EU’s next MFF and 11th European Development Fund (2014&mdash;20). To date DG DEVCO has played a significant role in leading the EC’s implementation of the common standard, however other EC departments managing the EU’s external aid budget such as DG’s ECHO and Enlargement and the new FPI Service now have a responsibility to publish their information in line with the common standard.
The European Commission should share lessons learned and best practice by communicating the benefits of comparable, timely, comprehensive and accessible aid information to its staff across the DGs to encourage improvement in data quality and greater coordination in programming and implementation.","The European Commission is a signatory to IATI. DG DEVCO began publishing to the IATI Registry in October 2011, republishing in March 2012 with a stated goal of quarterly publication, but the data should be much more disaggregated for it to be useful at the country level.
DG DEVCO rose four places from the 2011 Index and scored well across all levels, particularly at the organisation level. When controlling for changes in the methodology, DEVCO increased its score by nearly 18 percentage points from its 2011 score, largely due to publishing to the IATI Registry and scoring on the evaluations and results indicators for the first time. Most project information is found in DG DEVCO’s comprehensive IATI files and in a comprehensive database.
DG DEVCO should continue to improve the quality of its IATI data and begin publishing on a monthly basis, down to a lower unit of aid where the implementing organisation for each project component is stated. It should also publish all contracts and conditions for its projects. DG DEVCO should work with other parts of the European Commission to share its experience and ensure that all EU external assistance is published to IATI.",,yes,Eurodad: The European Network on Debt and Development,,,,,,,,,,,,,,,5,5,0.770317,0.916667,0.714286,0.68,fair,2,,Multilateral
19,Estonia,Estonia,Ministry of Foreign Affairs,,estonia,,,"Estonia has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan.50 Estonia has also endorsed the Open Aid Partnership.
Estonia performed fairly well, ranking 26th, largely due to a relatively high score on activity level indicators. However, after controlling for methodological changes, Estonia’s score dropped substantially from its 2011 score, caused primarily by a lower score on the country level indicators. Estonia ranks just 33rd for the country level, compared to 14th and 21st for the activity and organisation levels respectively. Most project information can be found in an online database that provides information for all projects that could be easily converted to the IATI format.
Estonia should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,yes,Estonian Roundtable for Development Cooperation,,,,,,,,,,,,,,,26,26,0.508201,0.638889,0.285714,0.6,moderate,3,,Bilateral
20,European Investment Bank,EIB,,,eib,,,"The EIB has not signed IATI.
The European Investment Bank ranked 36th amongst all donors and 4th out of seven development finance institutions. EIB’s increased score is due to its performance on the newly added indicators; EIB performed consistently with its 2011 score when controlling for these methodological changes. Most information is found in a comprehensive database. DFIs typically have difficulty publishing forward spending data, as this is reliant on projected returns and the level of demand (indicative as well as firm budgets were also accepted for the purposes of the Index). It is therefore notable that EIB publishes rolling three-year Operational Plans that currently provide financial information for 2012&mdash;2014.
The EIB should sign IATI and publish an implementation schedule by the end of 2012. It should convert its project database into IATI data or, preferably, build a feed into the database to ensure automated live publication to the IATI Registry.",,yes,CEE BankWatch Network,,,,,,,,,,,,,,,36,36,0.440423,0.555556,0.285714,0.48,moderate,3,,IFI/DFI
21,European Commission,EC,Foreign Policy Instruments Service,FPI,ec,fpi,"The 2011 Pilot Index assessed the transparency of three EC departments (Directorates-General): Enlargement (DG Enlargement), EuropeAid Development and Cooperation (DG DEVCO), and Humanitarian Aid (ECHO). The Service for Foreign Policy Instruments (FPI) has been added to the analysis for the 2012 Index. The FPI has been set up in response to the establishment of the European External Action Service (EEAS) and operates under the responsibility of Baroness Ashton in her role as Vice President to the EC. The service is responsible for implementing EU external cooperation in relation to Common Foreign and Security Policy issues such as jointly managing the Instrument for Stability (which includes global security and development spending). Although DG DEVCO is considered to be the main implementing agency for EU external assistance, substantial flows and/or activities are managed by the other departments, such as the FPI.","The European Commission is a signatory to IATI but FPI data has not yet been included in its IATI data release. The FPI has recently published the 2011 annual report on the Instrument for Stability (IfS). However, very little comprehensive information is publicly available on its development and security spending.
The FPI ranked last amongst the European Commission institutions and 47th overall. The FPI performed particularly poorly at the activity level, posting a score consistent with the average of donors in the very poor category for this level. This is due to the fact that project information is only published in retrospective annual reports, which give no indication of activities launched in 2012. The FPI’s mandate also includes a significant short-term programming component, which presents challenges to publication similar to those of ECHO and OCHA.
The FPI should commit to publishing to IATI, release an implementation schedule, and begin publishing in 2013.",,yes,European Peacebuilding Liaison Office,,,,,,,,,,,,,,,47,47,0.293757,0.555556,0.285714,0.04,poor,4,"The EC’s Foreign Policy Instruments Service should have scored for indicator 6 (“Publishes overall budget”). FPI publishes this information on its website: http://ec.europa.eu/budget/library/biblio/documents/fin_fwk1420/MFF_COM-2011-500_Part_I_en.pdf. This means FPI was scored 2.78% lower than it should have been; it should have scored 32.2% overall. This increase in score means FPI should have ranked 46th in the Index, behind Spain and ahead of U.S. Department of State. ",Multilateral
22,Finland,Finland,Ministry of Foreign Affairs,,finland,,,"Finland is an IATI signatory and should be congratulated for beginning publication of CRS++ data (for 2010) prior to HLF-4 in November 2011. Its implementation schedule specified that full IATI implementation was dependent on a new data warehouse, which was in turn reliant on a new aid management information system, launched in January 2012. IATI is recognised in Finland’s 2012 Development Policy Programme.51 Finland has joined OGP and is developing its commitments. It has also endorsed the Open Aid Partnership.
Finland ranked 20th, performing well overall despite a large disparity in its scores at different levels. Finland performed particularly well on the country level indicators, tying 7th amongst all donors at this level; but it performed poorly at the activity level, ranking 48th and scoring below the average for donors in the poor category at this level. Finland’s score improved substantially from the 2011 Index, which is partially due to methodological changes and partially due to the publication of a total forward budget, and the publication of all results and evaluations. The Finnish MFA did not provide comments during the survey process. IATI data that Finland published in November 2011 could not be taken into account for the purposes of the survey as the data only covers until the end of 2010 and is therefore no longer current.
Finland should produce a refreshed implementation schedule by December 2012, update its IATI publication and work to build it into its systems to ensure a timely, high-quality, automated feed. It should also include IATI in its OGP National Action Plan.",,no,,,,,,,,,,,,,,,,20,20,0.550688,0.777778,0.714286,0.16,moderate,3,,Bilateral
