id,e,code,number,subcode,since,sources,name,synonym
117,E319,319,319,,None,[1][2],Tertiary butylhydroquinone (TBHQ),Tertiary butylhydroquinone (TBHQ)
118,E320,320,320,,None,[1][2],Butylated hydroxyanisole (BHA),Butylated hydroxyanisole (BHA)
119,E321,321,321,,None,[1][2],Butylated hydroxytoluene (BHT),Butylated hydroxytoluene (BHT)
120,E322,322,322,,None,[2],Lecithins,
121,E322,322(i),322,(i),None,[1],Lecithin,Phospholipids*
122,E325,325,325,,None,[1][2],Sodium lactate,Sodium lactate
123,E326,326,326,,None,[1][2],Potassium lactate,Potassium Lactate (Solution)*
124,E327,327,327,,None,[1][2],Calcium lactate,Calcium lactate
125,E328,328,328,,None,[1],Ammonium lactate,Ammonium lactate
126,E329,329,329,,None,[1],Magnesium lactate; DL-,Magnesium lactate; DL-
127,E330,330,330,,None,[1][2],Citric acid,Citric acid
128,E331,331,331,,None,[2],Sodium citrates,
129,E331,331(iii),331,(iii),None,[1],Trisodium citrate,Trisodium citrate
130,E331,331(i),331,(i),None,[1],Sodium dihydrogen citrate,Sodium dihydrogen citrate
131,E332,332,332,,None,[2],Potassium citrates,
132,E332,332(i),332,(i),None,[1],Potassium dihydrogen citrate,Potassium dihydrogen citrate
133,E332,332(ii),332,(ii),None,[1],Tripotassium citrate,Tripotassium citrate
134,E333,333,333,,None,[2],Calcium citrates,
135,E333,333(iii),333,(iii),None,[1],Tricalcium citrate,Tricalcium citrate
136,E334,334,334,,None,[2],Tarartaric acid ,L(+)-
137,E335,335,335,,None,[2],Sodium tartrates,
138,E336,336,336,,None,[2],Potassium tartrates,
139,E337,337,337,,None,[2],Sodium potassium tartrate,
140,E338,338,338,,None,[2],Phosphoric acid,
141,E339,339,339,,None,[2],Sodium phosphates,
142,E340,340,340,,None,[2],Potassium phosphates,
143,E341,341,341,,None,[2],Calcium phosphates,
144,E343,343,343,,None,[2],Magnesium phosphates,
145,E350,350(i),350,(i),None,[1],Sodium hydrogen DL-malate,Sodium hydrogen DL-malate
146,E350,350,350,,None,[2],Sodium malates,
147,E350,350(ii),350,(ii),None,[1],Sodium DL-malate,Sodium DL-malate
148,E351,351(i),351,(i),None,[1],Potassium hydrogen malate,Potassium hydrogen malate
149,E351,351,351,,None,[2],Potassium malate,
150,E351,351(ii),351,(ii),None,[1],Potassium malate,Potassium malate
151,E352,352,352,,None,[2],Calcium malates,
152,E352,352(ii),352,(ii),None,[1],Calcium malate; DL-,Monocalcium Malate; D; L-*
153,E353,353,353,,None,[2],Metatartaric acid,
154,E354,354,354,,None,[2],Calcium tartrate,
155,E355,355,355,,None,[2],Adipic acid,
156,E356,356,356,,None,[2],Sodium adipate,
157,E357,357,357,,None,[2],Potassium adipate,
158,E363,363,363,,None,[2],Succinic acid,
159,E365,365,365,,None,[1],Sodium fumarates,Sodium fumarates
160,E380,380,380,,None,[1][2],Triammonium citrate,Triammonium citrate
161,E381,381,381,,None,[1],Ferric ammonium citrate,Iron Ammonium Citrate*
162,E384,384,384,,None,[1],Isopropyl citrates,Isopropyl citrates
163,E385,385,385,,None,[2],Calcium disodium ethylene diamine tetra-acetate ,Calcium disodium EDTA
164,E392,392,392,,None,[2],Extracts of rosemary,
165,E400,400,400,,None,[1][2],Alginic acid,Alginic acid
166,E401,401,401,,None,[1][2],Sodium alginate,Sodium alginate
167,E402,402,402,,None,[1][2],Potassium alginate,Potassium alginate
168,E403,403,403,,None,[1][2],Ammonium alginate,Ammonium alginate
169,E404,404,404,,None,[1][2],Calcium alginate,Calcium alginate
170,E405,405,405,,None,[1][2],Propylene glycol alginate,Propylene glycol alginate
171,E406,406,406,,None,[1][2],Agar,Layor Carang*
172,E407,407a,407,a,None,[1][2],Processed eucheuma seaweed (PES),semi-refined carrageenan*
173,E407,407,407,,None,[1][2],Carrageenan,Irish moss gelose (from Chondrus spp.)*
174,E410,410,410,,None,[1][2],Carob bean gum,Locust bean gum*
175,E412,412,412,,None,[1][2],Guar gum,Gum Cyamopsis*
176,E413,413,413,,None,[1][2],Tragacanth gum,Tragacanth gum
177,E414,414,414,,None,[1][2],Gum arabic (Acacia gum),Gum arabic (Acacia seyal)*
178,E415,415,415,,None,[1][2],Xanthan gum,Xanthan gum
179,E416,416,416,,None,[1][2],Karaya gum,Sterculia*
180,E417,417,417,,None,[1][2],Tara gum,Tara gum
181,E418,418,418,,None,[1][2],Gellan gum,Gellan gum
182,E420,420(i),420,(i),None,[1],Sorbitol,Sorbol*
183,E420,420(ii),420,(ii),None,[1],Sorbitol syrup,Sorbitol syrup
184,E420,420,420,,None,[2],Sorbitols,
185,E421,421,421,,None,[1][2],Mannitol,D-Mannitol*
186,E422,422,422,,None,[1][2],Glycerol,Glycerol
187,E424,424,424,,None,[1],Curdlan,Beta-1;3-glucan*
188,E425,425,425,,None,[1][2],Konjac flour,Konnyaleu*
189,E426,426,426,,None,[2],Soybean hemicellulose,
190,E427,427,427,,None,[1][2],Cassia gum,Cassia gum
191,E431,431,431,,None,[2],Polyoxyethylene  stearate,40
192,E432,432,432,,None,[2],Polyoxyethylene sorbitan monolaurate ,polysorbate 20
193,E433,433,433,,None,[2],Polyoxyethylene sorbitan monooleate ,polysorbate 80
194,E434,434,434,,None,[2],Polyoxyethylene sorbitan monopalmitate ,polysorbate 40
195,E435,435,435,,None,[2],Polyoxyethylene sorbitan monostearate ,polysorbate 60
196,E436,436,436,,None,[2],Polyoxyethylene sorbitan tristearate ,polysorbate 65
197,E440,440,440,,None,[1][2],Pectins,Pectins (amidated and non-amidated)*
198,E442,442,442,,None,[1][2],Ammonium salts of phosphatidic acid,Ammonium salts of phosphatidic acid
199,E444,444,444,,None,[1][2],Sucrose acetate isobutyrate,Sucrose acetate isobutyrate
200,E445,445,445,,None,[2],Glycerol esters of wood rosins,
201,E445,445(iii),445,(iii),None,[1],Glycerol ester of wood rosin,Glycerol ester of wood rosin
202,E450,450,450,,None,[2],Diphosphates,
203,E451,451,451,,None,[2],Triphosphates,
204,E452,452,452,,None,[2],Polyphosphates,
205,E457,457,457,,None,[1],Cyclodextrin; alpha-,Cyclodextrin; alpha-
206,E458,458,458,,None,[1],Cyclodextrin; gamma-,Cyclodextrin; gamma-
207,E459,459,459,,None,[1][2],Cyclodextrin; beta-,beta-Schardinger dextrin*
208,E460,460(i),460,(i),None,[1],Microcrystalline cellulose (Cellulose gel),Microcrystalline cellulose (Cellulose gel)
209,E460,460(ii),460,(ii),None,[1],Powdered cellulose,Powdered cellulose
210,E460,460,460,,None,[2],Cellulose,
211,E461,461,461,,None,[1][2],Methyl cellulose,Methyl Ether of Cellulose*
212,E462,462,462,,None,[1][2],Ethyl cellulose,Ethyl cellulose
213,E463,463,463,,None,[1][2],Hydroxypropyl cellulose,Modified cellulose*
214,E464,464,464,,None,[1][2],Hydroxypropyl methyl cellulose,Hydroxypropyl methyl cellulose
215,E465,465,465,,None,[1][2],Methyl ethyl cellulose,Methyl Ethyl Ether of Cellulose*
216,E466,466,466,,None,[1][2],Sodium carboxymethyl cellulose (Cellulose gum),Sodium CMC*
217,E467,467,467,,None,[1],Ethyl hydroxyethyl cellulose,Ethyl hydroxyethyl cellulose
218,E468,468,468,,None,[1][2],Cross-linked sodium carboxymethyl cellulose (Cross-linked-cellulose gum),Cross-linked sodium carboxymethyl cellulose (Cross-linked-cellulose gum)
219,E469,469,469,,None,[1][2],Sodium carboxymethyl cellulose; enzymatically hydrolysed (Cellulose gum; enzymatically hydrolyzed),Sodium carboxymethyl cellulose; enzymatically hydrolysed (Cellulose gum; enzymatically hydrolyzed)
220,E470,470(i),470,(i),None,[1],Salts of myristic; palmitic and stearic acids with ammonia; calcium; potassium and sodium,Salts of myristic; palmitic and stearic acids with ammonia; calcium; potassium and sodium
221,E470,470(ii),470,(ii),None,[1],Salts of oleic acid with calcium; potassium and sodium,Salts of oleic acid with calcium; potassium and sodium
222,E470,470b,470,b,None,[2],Magnesium salts of fatty acids,
223,E470,470a,470,a,None,[2],Sodium; potassium and calcium salts of fatty acids,
224,E471,471,471,,None,[1][2],Mono- and di-glycerides of fatty acids,Monostearin*
225,E472,472d,472,d,None,[2],Tartaric acid esters of mono- and diglycerides of fatty acids,
226,E472,472f,472,f,None,[2],Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,
227,E472,472c,472,c,None,[1][2],Citric and fatty acid esters of glycerol,Citroglycerides*
228,E472,472b,472,b,None,[1][2],Lactic and fatty acid esters of glycerol,Lactoglycerides*
229,E472,472e,472,e,None,[1][2],Diacetyltartaric and fatty acid esters of glycerol,Tartaric; acetic and fatty acid esters of glycerol; mixed; *
230,E472,472a,472,a,None,[1][2],Acetic and fatty acid esters of glycerol,Acetylated mono- and diglycerides*
231,E473,473a,473,a,None,[1],Sucrose Oligoesters; Type I and Type II,Sucrose Oligoesters; Type I and Type II
232,E473,473,473,,None,[1][2],Sucrose esters of fatty acids,Sucrose fatty acid esters*
233,E474,474,474,,None,[1][2],Sucroglycerides,Sucroglycerides
234,E475,475,475,,None,[1][2],Polyglycerol esters of fatty acids,Polyglycerol fatty acid esters*
235,E476,476,476,,None,[1][2],Polyglycerol esters of interesterified ricinoleic acid,Polyglycerol esters of polycondensed fatty acids from castor oil*
236,E477,477,477,,None,[1][2],Propylene glycol esters of fatty acids,Propylene glycol esters of fatty acids
237,E479,479b,479,b,None,[2],Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids,
238,E479,479,479,,None,[1],Thermally oxidized soya bean oil interacted with mono- and diglycerides of fatty acids,TOSOM*
239,E480,480,480,,None,[1],Dioctyl sodium sulfosuccinate,DSS*
240,E481,481,481,,None,[2],Sodium stearoyl-2-lactylate,
241,E482,482,482,,None,[2],Calcium stearoyl-2-lactylate,
242,E483,483,483,,None,[1][2],Stearyl tartrate,Stearyl tartrate
243,E484,484,484,,None,[1],Stearyl citrate,Stearyl citrate
244,E491,491,491,,None,[2],Sorbitan monostearate,
245,E492,492,492,,None,[2],Sorbitan tristearate,
246,E493,493,493,,None,[2],Sorbitan monolaurate,
247,E494,494,494,,None,[2],Sorbitan monooleate,
248,E495,495,495,,None,[2],Sorbitan monopalmitate,
249,E500,500(ii),500,(ii),None,[1],Sodium hydrogen carbonate,Sodium hydrogen carbonate
250,E500,500,500,,None,[2],Sodium carbonates,
251,E500,500(i),500,(i),None,[1],Sodium carbonate,Sodium carbonate
252,E500,500(iii),500,(iii),None,[1],Sodium sesquicarbonate,Sodium sesquicarbonate
253,E501,501(i),501,(i),None,[1],Potassium carbonate,Potassium carbonate
254,E501,501,501,,None,[2],Potassium carbonates,
255,E501,501(ii),501,(ii),None,[1],Potassium hydrogen carbonate,Potassium hydrogen carbonate
256,E503,503(i),503,(i),None,[1],Ammonium carbonate,Ammonium carbonate
257,E503,503,503,,None,[2],Ammonium carbonates,
258,E503,503(ii),503,(ii),None,[1],Ammonium hydrogen carbonate,Ammonium hydrogen carbonate
259,E504,504(i),504,(i),None,[1],Magnesium carbonate,Magnesium carbonate
260,E504,504,504,,None,[2],Magnesium carbonates,
261,E504,504(ii),504,(ii),None,[1],Magnesium hydroxide carbonate,Magnesium Subcarbonate (Light or Heavy)*
262,E507,507,507,,None,[1][2],Hydrochloric acid,Muriatic acid*
263,E508,508,508,,None,[1][2],Potassium chloride,Sylvite*
264,E509,509,509,,None,[1][2],Calcium chloride,Calcium chloride
265,E510,510,510,,None,[1],Ammonium chloride,Sal ammoniac*
266,E511,511,511,,None,[1][2],Magnesium chloride,Magnesium Chloride Hexahydrate*
267,E512,512,512,,None,[1][2],Stannous chloride,Tin dichloride*
268,E513,513,513,,None,[2],Sulphuric acid,
269,E514,514(ii),514,(ii),None,[1],Sodium hydrogen sulfate,Sodium hydrogen sulfate
270,E514,514,514,,None,[2],Sodium sulphates,
271,E514,514(i),514,(i),None,[1],Sodium sulfate,Sodium sulfate
272,E515,515(i),515,(i),None,[1],Potassium sulfate,Potassium sulfate
273,E515,515,515,,None,[2],Potassium sulphates,
274,E515,515(ii),515,(ii),None,[1],Potassium hydrogen sulfate,Potassium hydrogen sulfate
275,E516,516,516,,None,[1][2],Calcium sulfate,Calcium sulfate
276,E517,517,517,,None,[2],Ammonium sulphate,
277,E518,518,518,,None,[1],Magnesium sulfate,Magnesium sulfate
278,E520,520,520,,None,[2],Aluminium sulphate,
279,E521,521,521,,None,[2],Aluminium sodium sulphate,
280,E522,522,522,,None,[2],Aluminium potassium sulphate,
281,E523,523,523,,None,[1][2],Aluminium ammonium sulfate,Ammonium alum*
282,E524,524,524,,None,[1][2],Sodium hydroxide,Sodium hydroxide
283,E525,525,525,,None,[1][2],Potassium hydroxide,Potassium hydroxide
284,E526,526,526,,None,[1][2],Calcium hydroxide,Slaked lime*
285,E527,527,527,,None,[1][2],Ammonium hydroxide,Ammonium hydroxide
286,E528,528,528,,None,[1][2],Magnesium hydroxide,Magnesium hydroxide
287,E529,529,529,,None,[1][2],Calcium oxide,Lime*
288,E530,530,530,,None,[1][2],Magnesium oxide,Magnesium oxide
289,E535,535,535,,None,[2],Sodium ferrocyanide,
290,E536,536,536,,None,[2],Potassium ferrocyanide,
291,E538,538,538,,None,[2],Calcium ferrocyanide,
292,E541,541,541,,None,[2],Sodium aluminium phosphate acidic,
293,E551,551,551,,None,[1][2],Silicon dioxide; amorphous,Silicon dioxide; amorphous
294,E552,552,552,,None,[1][2],Calcium silicate,Calcium silicate
295,E553,553b,553,b,None,[2],Talc,
296,E553,553a,553,a,None,[2],Magnesium silicate,
297,E553,553(iii),553,(iii),None,[1],Talc,Talcum*
298,E553,553(i),553,(i),None,[1],Magnesium silicate; synthetic,Magnesium silicate; synthetic
299,E554,554,554,,None,[1][2],Sodium aluminosilicate,Sodium silicoaluminate*
300,E555,555,555,,None,[2],Potassium aluminium silicate,
301,E556,556,556,,None,[1][2],Calcium aluminium silicate,Sodium calcium silicoaluminate*
302,E558,558,558,,None,[2],Bentonite,
303,E559,559,559,,None,[1][2],Aluminium silicate,Kaolin; light or heavy*
304,E570,570,570,,None,[2],Fatty acids,
305,E574,574,574,,None,[2],Gluconic acid,
306,E575,575,575,,None,[1][2],Glucono delta-lactone,Delta-Gluconolactone*
307,E576,576,576,,None,[1][2],Sodium gluconate,Sodium gluconate
308,E577,577,577,,None,[1][2],Potassium gluconate,Potassium gluconate
309,E578,578,578,,None,[1][2],Calcium gluconate,Calcium gluconate
310,E579,579,579,,None,[1][2],Ferrous gluconate,Iron Gluconate*
311,E580,580,580,,None,[1],Magnesium gluconate,Magnesium gluconate
312,E585,585,585,,None,[1][2],Ferrous lactate,Iron (II) Lactate*
313,E586,586,586,,None,[2],4-Hexylresorcinol,
314,E620,620,620,,None,[1][2],Glutamic acid; L(+)-,L-(+)-glutamic acid*
315,E621,621,621,,None,[1][2],Monosodium L-glutamate,Sodium Glutamate*
316,E622,622,622,,None,[1][2],Monopotassium L-glutamate,Potassium Glutamate*
317,E623,623,623,,None,[1][2],Calcium di-L-glutamate,Calcium glutamate*
318,E624,624,624,,None,[1][2],Monoammonium L-glutamate,Monoammonium L-glutamate
319,E625,625,625,,None,[1][2],Magnesium di-L-glutamate,Magnesium Glutamate*
320,E626,626,626,,None,[1][2],Guanylic acid; 5'-,Guanylic acid; 5'-
321,E627,627,627,,None,[1][2],Disodium 5'-guanylate,Sodium Guanylate*
322,E628,628,628,,None,[1][2],Dipotassium 5'-guanylate,Potassium Guanylate*
323,E629,629,629,,None,[1][2],Calcium 5'-guanylate,Calcium guanylate*
324,E630,630,630,,None,[1][2],Inosinic acid; 5'-,Inosinic acid; 5'-
325,E631,631,631,,None,[1][2],Disodium 5'-inosinate,Sodium Inosinate*
326,E632,632,632,,None,[1][2],Potassium 5-inosinate,Potassium Inosinate*
327,E633,633,633,,None,[1][2],Calcium 5'-inosinate,Calcium inosinate*
328,E634,634,634,,None,[1][2],Calcium 5'-ribonucleotides,Calcium ribonucleotides*
329,E635,635,635,,None,[1][2],Disodium 5'-ribonucleotides,Sodium Ribonucleotides*
330,E636,636,636,,None,[1],Maltol,Maltol
331,E637,637,637,,None,[1],Ethyl maltol,Ethyl maltol
332,E640,640,640,,None,[2],Glycine and its sodium salt,
333,E650,650,650,,None,[2],Zinc acetate,
334,E900,900,900,,None,[2],Dimethyl polysiloxane,
335,E900,900a,900,a,None,[1],Polydimethylsiloxane,Polydimethylsiloxane
336,E901,901,901,,None,[1][2],Beeswax,Beeswax
337,E902,902,902,,None,[1][2],Candelilla wax,Candelilla wax
338,E903,903,903,,None,[1][2],Carnauba wax,Carnauba wax
339,E904,904,904,,None,[1][2],Shellac; bleached,Shellac; bleached*
340,E905,905,905,,None,[2],Microcrystalline wax,
341,E905,905d,905,d,None,[1],Mineral oil; high viscosity,White mineral oil*
342,E905,905e,905,e,None,[1],Mineral oil; medium and low viscosity; class I,White mineral oil*
343,E905,905c(i),905,c(i),None,[1],Microcrystalline wax,Petroleum Wax*
344,E907,907,907,,None,[1][2],Hydrogenated poly-1-decenes,Hydrogenated poly-alpha-olefin*
345,E912,912,912,,None,[2],Montan acid esters,
346,E914,914,914,,None,[2],Oxidised polyethylene wax,
347,E920,920,920,,None,[2],L-cysteine,
348,E925,925,925,,None,[1],Chlorine,Chlorine
349,E926,926,926,,None,[1],Chlorine dioxide,Chlorine peroxide*
350,E927,927a,927,a,None,[1],Azodicarbonamide,Azodicarbonamide
351,E927,927b,927,b,None,[2],Carbamide,
352,E928,928,928,,None,[1],Benzoyl peroxide,Benzoyl superoxide*
353,E938,938,938,,None,[2],Argon,
354,E939,939,939,,None,[2],Helium,
355,E941,941,941,,None,[1][2],Nitrogen,Nitrogen
356,E942,942,942,,None,[1][2],Nitrous oxide,Nitrous oxide
357,E943,943b,943,b,None,[2],Isobutane,
358,E943,943a,943,a,None,[2],Butane,
359,E944,944,944,,None,[1][2],Propane,Propane
360,E948,948,948,,None,[2],Oxygen,
361,E949,949,949,,None,[2],Hydrogen,
362,E950,950,950,,None,[1][2],Acesulfame potassium,Acesulfame potassium
363,E951,951,951,,None,[1][2],Aspartame,Aspartyl phenylalanine methyl ester*
364,E952,952,952,,None,[2],Cyclamates,
365,E953,953,953,,None,[1][2],Isomalt (Hydrogenated isomaltulose),Isomaltitol*
366,E954,954,954,,None,[2],Saccharins,
367,E955,955,955,,None,[1][2],Sucralose (Trichlorogalactosucrose),4;1';6'-trichlorogalactosucrose*
368,E956,956,956,,None,[1],Alitame,Alitame
369,E957,957,957,,None,[1][2],Thaumatin,Thaumatin
370,E959,959,959,,None,[2],Neohesperidine DC,
371,E960,960,960,,None,[1][2],Steviol glycosides,Steviol glycosides
372,E961,961,961,,None,[1][2],Neotame,Neotame
373,E962,962,962,,None,[1][2],Aspartame-acesulfame salt,Aspartame-acesulfame salt
374,E964,964,964,,None,[1],Polyglycitol syrup,Polyglycitol syrup
375,E965,965(ii),965,(ii),None,[1],Maltitol syrup,Maltitol syrup
376,E965,965,965,,None,[2],Maltitols,
377,E965,965(i),965,(i),None,[1],Maltitol,Maltitol Syrup Powder*
378,E966,966,966,,None,[1][2],Lactitol,Lactositol*
379,E967,967,967,,None,[1][2],Xylitol,Xylitol
380,E968,968,968,,None,[1][2],Erythritol,Tetrahydroxybutane*
381,E999,999,999,,None,[2],Quillaia extract,
382,E1001,1001,1001,,None,[1],Choline salts and esters,Choline salts and esters
383,E1100,1100,1100,,None,[1],Amylase,Ptyalin*
384,E1101,1101(i),1101,(i),None,[1],Protease,Protease
385,E1101,1101(ii),1101,(ii),None,[1],Papain,Papain
386,E1101,1101(iii),1101,(iii),None,[1],Bromelain,Bromelain
387,E1102,1102,1102,,None,[1],Glucose oxidase,Notatin*
388,E1103,1103,1103,,None,[1][2],Invertase,Invertase
389,E1104,1104,1104,,None,[1],Lipases,Lipases
390,E1105,1105,1105,,None,[1][2],Lysozyme,Lysozyme
391,E1200,1200,1200,,None,[1][2],Polydextroses,Polydextroses
392,E1201,1201,1201,,None,[1][2],Polyvinylpyrrolidone,PVP*
